-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  32.7578   Longitude -97.3146 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 254.24 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
PS                  MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,
TS                  MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
WD50M               MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,,,,,,,,
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,
WS50M               MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD50M,1992,280.12,304,195.19,175.75,144.5,177.19,188.88,151.12,155.25,168.44,217.75,228.06,181.94
WD50M,1993,3.75,320.81,291.06,190.75,180,176.56,183.12,177.62,174.94,79,209.94,255.38,187.19
WD50M,1994,237.38,215.06,229.19,182.44,137.75,171,169.12,153.62,171.56,142.38,185.81,32.69,169.94
WD50M,1995,280.19,322.19,80.94,180.5,169.5,167.44,176.69,164.5,134.94,191.81,216,273,179.12
WD50M,1996,271.88,268.31,242.88,193.62,181.94,167,177.44,156.94,146.19,164.94,187.38,238,187.31
WD50M,1997,281.25,83.19,144.38,129.81,146.62,170.81,171.75,161.06,147.75,168.19,290.94,313.44,167.94
WD50M,1998,211.44,303.38,216.44,215.5,180.5,181.75,183.31,170.12,125,151.56,176.88,341.62,178.12
WD50M,1999,231.75,214.25,99.62,193.06,171.31,167.81,175.12,147.5,131.75,153.56,193.81,248.31,177.12
WD50M,2000,198.94,198.31,170.12,165.75,177.62,162.56,161,176.81,136.12,162.44,15.62,355,168.25
WD50M,2001,328,174.56,49.06,178.44,171.62,151.94,164.31,157.88,124.44,172.19,173.88,251.56,165.75
WD50M,2002,239.88,270.69,170.25,159.25,154.06,146.75,172.94,148.69,101.69,76.06,297.31,246.62,161.12
WD50M,2003,297.81,319.88,211.88,185.31,164.19,125.69,177.38,152.25,126.5,174.44,205.94,219.25,178.69
WD50M,2004,201.12,80,167.38,176.5,178.56,154.5,176.06,158.19,122.75,214.31,338.31,237.75,170.5
WD50M,2005,171.25,292.56,266,219.62,153.81,167.19,145.81,171.94,146.38,146,213.69,271.5,174.75
WD50M,2006,247.38,263.5,164.44,187.75,172.06,147.44,164.31,170.88,144.94,180.44,190.69,199.31,177.69
WD50M,2007,337.12,233.81,174.62,168.38,152.62,169.19,168.81,166.19,149.25,157.44,185.88,229.19,170.75
WD50M,2008,201.94,220.25,180,183.31,166.81,169.75,178.38,133.25,74.75,160,223.56,215.44,174.19
WD50M,2009,287.5,195.81,179.62,187.56,140.31,168.56,168.75,145.88,61.12,153.31,208.44,305.88,176.69
WD50M,2010,204.75,18.88,247.25,181.44,170.19,172.31,174.75,173.56,153.25,185.75,208.62,196.31,179.56
WD50M,2011,308.81,219.5,174.62,192.31,176.12,177.06,172,186.12,65.94,165.75,220.31,248.56,182
WD50M,2012,271.31,240.81,183.94,170,166.38,157.5,171.69,143.25,183.75,192.25,177.69,231.62,180
WD50M,2013,255.19,189.69,179.69,172.81,174.38,166.25,149.56,153.88,137.44,170.75,140.69,275.31,166.56
WD50M,2014,259.88,348,202.69,182.94,176.81,175.5,161,158.06,134.62,187.44,205.38,212.19,177.25
WD50M,2015,337.56,31.56,126.44,170.12,157.25,179.88,186.62,157.31,143.25,98.75,170.5,227.81,168.44
WD50M,2016,265.44,259.38,166.81,168.5,158.44,162.44,178.38,159.94,147.06,179.25,205.38,192.56,175.75
WD50M,2017,269.62,216.69,181.12,187.38,176.44,143.31,171.81,115.88,139.31,192.5,199.31,314.75,179.56
WD50M,2018,214.44,162.44,181.88,184.19,172.38,170.25,167.81,172.44,122.19,138.56,251.62,295.38,176.19
WD50M,2019,257.69,191.19,185.94,184.25,172.69,180.44,161.56,159.94,159.62,186.19,211.81,244.44,179.12
WD50M,2020,209.56,288.38,183.25,173.94,152.44,169.06,165.31,148.69,77.94,141.62,171.12,258.31,171.88
WS10M,1981,3.79,4.93,4.91,5.11,5.13,5.09,4.66,4.02,3.88,4.85,4.09,4.52,4.58
WS10M,1982,5.64,4.69,5.2,5.3,4.92,3.59,3.74,4.15,4.34,4.27,5.06,4.51,4.62
WS10M,1983,4.3,4.46,5.3,6.23,5.07,4.27,4.66,3.87,4.91,4.41,5.35,4.82,4.8
WS10M,1984,4.14,5.56,5.3,5.77,5.2,5.41,3.92,3.45,4.98,4.27,4.8,4.64,4.78
WS10M,1985,4.64,4.84,5.2,5,4.55,4.67,3.63,3.98,5.08,4.76,4.75,4.32,4.61
WS10M,1986,4.65,4.96,5.15,5.47,4.94,3.36,4.99,4.11,4.88,4.11,4.39,3.49,4.54
WS10M,1987,4.59,4.7,4.83,4.67,4.31,3.65,4.73,4.23,3.53,4.81,4.7,4.59,4.45
WS10M,1988,5.06,5.05,5.92,5.28,4.98,3.49,4.01,3.83,3.8,4.09,5.22,4.36,4.59
WS10M,1989,4.61,4.88,5.45,4.99,5.15,3.98,3.62,4.54,3.93,4.67,4.77,4.7,4.61
WS10M,1990,5.13,4.88,4.98,5.11,5.39,5.26,4.49,3.53,3.32,4.55,4.8,4.66,4.67
WS10M,1991,4.27,4.66,5.52,5.09,4.55,3.88,3.98,3.2,3.64,4.7,4.86,4.49,4.41
WS10M,1992,3.91,4.66,4.83,4.42,4.12,3.52,5.15,3.77,4.32,4.04,5.16,4.48,4.36
WS10M,1993,3.87,4.52,5.01,5.35,5.08,4.92,6.39,4.19,3.97,4.23,4.55,4.68,4.73
WS10M,1994,5.02,4.95,5,5.61,3.63,4.52,4.23,4.06,3.58,4.14,4.8,3.49,4.41
WS10M,1995,4.73,4.93,5.25,5.42,4.88,4.3,4.29,3.66,3.89,4.91,4.96,4.61,4.65
WS10M,1996,5.91,5.41,6.24,5.91,6.88,4.05,3.88,3.58,3.23,4.58,4.84,4.93,4.95
WS10M,1997,5.05,4.27,4.9,5.29,4.44,3.88,3.78,3.88,4.15,4.33,4.5,4.48,4.41
WS10M,1998,4.79,4.04,5.86,5.12,4.9,6.16,4.49,3.2,3.82,4.86,4.52,4.27,4.67
WS10M,1999,5.13,5.34,5.17,5.48,4.81,4.57,4.58,3.66,4.45,4.23,4.36,5.1,4.73
WS10M,2000,4.69,5.21,5.18,5.06,5.9,4.69,4.38,4.38,4.2,5.02,4.21,4.42,4.78
WS10M,2001,4.21,5.02,3.9,5.6,4.83,4.95,4.52,3.59,3.7,5.03,4.58,4.38,4.52
WS10M,2002,4.82,4.84,5.69,5.06,5.02,3.88,3.66,4.02,3.66,3.73,4.45,4.52,4.45
WS10M,2003,4.49,4.92,4.59,5.84,4.51,3.64,3.91,3.3,3.7,3.84,5.09,5.41,4.43
WS10M,2004,4.74,4.8,5.14,5.03,5.62,3.81,3.87,3.44,3.43,4.13,4.45,4.51,4.41
WS10M,2005,4.45,3.95,4.85,5.68,4.26,4.12,3.36,3.13,4.06,4.06,4.9,4.65,4.29
WS10M,2006,5.51,4.92,5.57,5.3,4.85,4.13,4.65,4.2,3.96,4.61,5.09,4.84,4.8
WS10M,2007,4.24,5.05,5.12,4.99,3.98,4.11,2.93,3.89,3.39,4.39,4.59,4.59,4.27
WS10M,2008,5.11,5.24,5.9,5.72,5.3,5.81,4.21,3.35,3.62,4.41,4.52,5.54,4.89
WS10M,2009,4.88,5.8,6.04,6.03,4.07,4.52,3.66,3.96,3.73,4.78,3.95,4.28,4.63
WS10M,2010,4.38,4.27,5.45,5.52,4.41,4.67,3.87,3.54,3.9,3.88,5.38,4.72,4.49
WS10M,2011,3.72,5.52,5.52,6.42,6.09,5.66,4.03,3.8,3.98,4.2,5.15,4.09,4.84
WS10M,2012,4.95,4.49,5.12,4.93,4.85,4.15,4.06,3.54,3.79,4.59,4.38,4.84,4.48
WS10M,2013,4.27,5.1,5.19,5.36,5.43,4.34,3.86,3.42,3.39,4.41,4.7,4.02,4.45
WS10M,2014,5.41,4.82,5.16,5.55,5.2,5.11,3.58,3.83,3.45,4.41,5.07,4.17,4.64
WS10M,2015,4.16,4.74,3.76,4.47,4.54,3.62,4.44,3.74,3.6,3.91,4.57,4.45,4.16
WS10M,2016,4.3,4.99,5.41,4.48,4.22,3.38,4.47,3.57,3.3,4.26,4.15,4.44,4.25
WS10M,2017,4.72,5.23,5.34,5.45,4.97,3.92,3.21,3.52,3.71,4.49,4.3,4.14,4.41
WS10M,2018,4.98,4.76,4.87,5.2,4.41,5.06,3.53,3.76,3.11,3.94,4.43,4.56,4.38
WS10M,2019,4.72,4.73,4.88,5.23,4.79,3.86,4.02,3.63,4.09,5.02,4.28,4.02,4.44
WS10M,2020,4.69,5.11,4.69,4.73,4.76,4.19,3.77,3.78,3.7,4.52,4.47,4.77,4.43
WS50M,1981,5.82,7.19,7.12,7.45,7.42,7.23,6.32,5.7,5.91,7.18,6.34,6.79,6.7
WS50M,1982,8.06,6.67,7.65,7.66,7.28,5.52,5.74,6.02,6.34,6.34,7.51,6.83,6.8
WS50M,1983,6.36,6.32,7.66,8.66,7.16,6.23,6.62,5.52,6.73,6.65,7.95,6.73,6.88
WS50M,1984,6.04,8.12,7.77,8.38,7.38,7.52,5.57,5.05,6.91,6.51,7.29,7.06,6.95
WS50M,1985,6.62,6.83,7.51,7.42,6.8,6.79,5.23,5.69,7.21,6.94,6.91,6.36,6.69
WS50M,1986,7.2,7.14,7.57,7.64,7.14,5.24,7.1,5.85,7.05,6.21,6.43,5.18,6.64
WS50M,1987,6.64,6.81,6.86,6.93,6.38,5.6,6.8,5.84,5.51,7.02,7.05,6.8,6.52
WS50M,1988,7.37,7.16,8.49,7.7,7.19,5.38,5.88,5.39,5.86,6.1,8,6.59,6.76
WS50M,1989,6.95,6.69,7.9,7.31,7.59,5.95,5.24,6.5,5.68,7.02,7.22,6.73,6.73
WS50M,1990,7.71,7.2,7.12,7.46,7.8,7.49,6.42,5.5,4.89,6.83,7.22,7,6.88
WS50M,1991,6.17,6.97,7.99,7.38,6.59,5.81,5.45,4.85,5.53,6.91,7.35,6.64,6.47
WS50M,1992,5.95,7.01,7.16,6.52,5.93,5.22,7.18,5.52,6.52,6.12,7.5,6.66,6.44
WS50M,1993,5.55,6.46,7.31,7.69,7.36,6.94,8.35,5.88,6.07,6.22,6.87,7.24,6.83
WS50M,1994,7.2,7.17,7.32,7.91,5.45,6.48,6.24,5.7,5.58,6.4,7.2,5.38,6.49
WS50M,1995,7.13,7.34,7.38,7.8,7.16,6.28,6.27,5.45,5.63,7.35,7.45,6.9,6.84
WS50M,1996,8.47,7.79,8.59,8.53,9.24,5.82,5.59,5.25,4.88,6.91,7.16,7.41,7.14
WS50M,1997,7.36,6.27,7.2,7.59,6.56,5.71,5.55,5.63,5.94,6.4,6.73,6.84,6.48
WS50M,1998,6.9,6.03,8.42,7.43,7.12,8.41,6.12,4.65,5.5,7.19,6.77,6.38,6.75
WS50M,1999,7.58,8.05,7.43,7.87,6.98,6.58,6.26,5.25,6.45,6.42,6.88,7.63,6.94
WS50M,2000,7.1,7.78,7.56,7.23,8.2,6.75,6.23,6.27,6.06,7.34,6.23,6.51,6.94
WS50M,2001,6.23,7.17,5.73,8.19,6.98,6.88,6.02,5.26,5.51,7.39,6.77,6.77,6.57
WS50M,2002,7.37,7.13,8.02,7.43,7.33,5.71,5.29,5.57,5.51,5.45,6.82,6.8,6.53
WS50M,2003,6.65,6.88,6.8,8.27,6.36,5.38,5.45,4.76,5.61,5.87,7.49,7.98,6.45
WS50M,2004,7.01,6.9,7.62,7.23,7.84,5.69,5.81,5.16,5.24,6.23,6.57,7.05,6.53
WS50M,2005,6.66,5.8,7.12,8.11,6.07,6.03,4.77,4.72,5.94,6.03,7.38,6.96,6.3
WS50M,2006,8.12,7.11,8.13,7.69,7.05,5.88,6.25,5.75,5.9,6.97,7.68,7.38,6.99
WS50M,2007,6.2,7.35,7.49,7.3,5.84,6.18,4.55,5.71,5.29,6.55,6.88,6.82,6.34
WS50M,2008,7.4,7.52,8.39,8.32,7.5,7.82,5.95,4.91,5.43,6.7,6.88,7.97,7.06
WS50M,2009,7.2,8.36,8.4,8.59,5.91,6.73,5.23,5.69,5.57,6.9,6.23,6.35,6.75
WS50M,2010,6.53,6.23,7.99,7.98,6.41,6.55,5.7,5.2,5.77,6.2,7.94,7.26,6.65
WS50M,2011,5.73,7.89,7.83,8.98,8.62,7.95,5.56,5.51,5.9,6.34,7.65,6.2,7
WS50M,2012,7.45,6.59,7.59,7.16,6.84,6.05,5.58,5.22,5.69,6.69,6.55,7.27,6.56
WS50M,2013,6.36,7.39,7.7,7.66,7.7,6.43,5.6,5.06,5.04,6.53,6.95,6.02,6.53
WS50M,2014,7.95,6.78,7.27,7.92,7.23,7.11,5.42,5.54,4.98,6.57,7.49,6.14,6.7
WS50M,2015,6.32,6.67,5.51,6.63,6.67,5.55,6.72,5.26,5.27,5.8,6.94,6.83,6.18
WS50M,2016,6.62,7.56,7.93,6.65,6.17,5.2,6.45,5.22,4.97,6.52,6.36,6.55,6.35
WS50M,2017,7.06,7.77,7.63,7.77,7.1,5.75,4.84,5.27,5.48,6.86,6.45,6.22,6.51
WS50M,2018,7.3,6.74,7.28,7.45,6.5,6.81,4.96,5.55,4.7,5.95,6.8,6.9,6.41
WS50M,2019,6.98,6.84,7.01,7.61,7,5.7,5.77,5.16,5.91,7.02,6.45,6.32,6.48
WS50M,2020,6.98,7.44,6.95,6.98,6.9,6.24,5.31,5.27,5.47,6.61,6.93,7.18,6.52
PRECTOTCORR,1981,0.32,1.65,2.73,2.57,4.98,3.43,1.17,1.73,2.52,12.81,1.3,0.17,2.96
PRECTOTCORR,1982,1.83,1.66,1.65,1.9,9.24,5.03,2.42,0.61,0.79,1.69,2.83,2.38,2.68
PRECTOTCORR,1983,1.28,0.98,2.57,0.72,4.72,2.76,1.31,2.05,0.4,3.08,1.99,0.54,1.88
PRECTOTCORR,1984,0.74,1.96,2.99,0.92,1.94,1.94,0.92,1.75,1.12,6.68,1.73,4.11,2.24
PRECTOTCORR,1985,0.58,1.86,3.49,3.31,2.9,3.84,1.51,0.49,3.03,4.45,1.59,0.5,2.29
PRECTOTCORR,1986,0.01,2.89,1.13,3.54,6.03,4.53,0.99,1.7,4.25,2.95,2.64,2.09,2.72
PRECTOTCORR,1987,1.53,4.31,1.27,0.35,6.47,4.37,1.44,1.6,2.31,0.55,2.72,3.22,2.5
PRECTOTCORR,1988,0.42,0.95,1.27,1.48,2.95,2.29,2.34,0.73,4.54,1.11,1.44,2,1.79
PRECTOTCORR,1989,2.31,3.58,2.83,1.29,8.7,8.17,1.65,2.33,3.4,1.18,0.33,0.25,2.99
PRECTOTCORR,1990,2.77,3.49,4.91,7.92,5.78,1.58,2.75,1.75,1.93,1.61,3.57,1.02,3.25
PRECTOTCORR,1991,2.36,1.05,1.01,2.1,3.99,3.58,2.49,4.32,2.93,7.16,1.22,7.17,3.31
PRECTOTCORR,1992,2.47,2.87,1.91,1.3,4.76,4.4,1.89,1.9,2.73,1.16,3,3.27,2.63
PRECTOTCORR,1993,1.81,3.99,2.39,2.77,2.44,3.62,0.07,1.17,3.77,5.84,1.26,1.86,2.57
PRECTOTCORR,1994,1.2,1.9,1.45,2.51,5.71,1.34,3.51,1.97,3.57,5.57,4.7,2.22,2.98
PRECTOTCORR,1995,1.38,0.67,3.23,3.43,5.76,2.43,3.57,3.01,3.18,0.67,0.77,1.5,2.48
PRECTOTCORR,1996,0.84,0.18,1.66,2.18,1.2,2.18,3.32,4.7,3.39,2.73,5.39,0.37,2.35
PRECTOTCORR,1997,0.62,6.98,2.04,4.61,3.8,3.2,1.6,2.06,0.74,3.36,1.17,4.54,2.86
PRECTOTCORR,1998,2.87,2.43,3.84,0.99,1.44,1.57,0.4,1.28,1.33,3.76,2.75,2.7,2.12
PRECTOTCORR,1999,1.54,0.2,3.18,2.38,4.75,2.28,0.69,0.24,1.43,2.06,0.18,1.65,1.73
PRECTOTCORR,2000,1.29,1.03,2.37,2.61,2.21,5.77,0.26,0.02,0.42,3.99,4.67,2.11,2.22
PRECTOTCORR,2001,2.3,5.35,2.99,1,3.21,1.65,0.52,2.71,2.04,1.86,1.53,2.06,2.25
PRECTOTCORR,2002,1.56,1.27,4.36,2.87,3.73,2.76,2.6,0.82,1.54,5.24,0.66,3.42,2.59
PRECTOTCORR,2003,0.22,2.55,0.8,1,2.71,4.35,0.35,2.32,3.29,1.04,1.97,0.52,1.74
PRECTOTCORR,2004,1.61,3.89,1.42,3.76,1.99,8.66,3.38,2.52,0.89,3.87,5.38,0.63,3.15
PRECTOTCORR,2005,1.85,1.67,1.55,0.37,2.5,0.62,1.93,2.51,0.61,1.26,0.16,0.17,1.27
PRECTOTCORR,2006,1.38,2.33,3.16,2.67,1.9,1.18,0.54,1.36,2.11,2.16,1.94,1.67,1.86
PRECTOTCORR,2007,2.3,0.47,5.08,2.35,6.36,8.61,3.13,1.37,3.58,1.73,1.13,1.12,3.12
PRECTOTCORR,2008,0.24,1.1,5.03,3.71,2.31,1.64,0.85,3.54,1.74,1.46,1.51,0.29,1.96
PRECTOTCORR,2009,0.49,0.82,2.43,3.8,2.92,2.34,3,1.29,5.6,7.12,0.72,1.44,2.67
PRECTOTCORR,2010,2.22,2.12,2.78,2.84,2.22,2.62,3.48,0.85,7.17,1.07,0.77,1.35,2.45
PRECTOTCORR,2011,0.92,0.64,0.06,1.97,3.31,1.2,0.01,0.84,1.05,4.55,1.32,2.82,1.57
PRECTOTCORR,2012,4.59,1.67,3.94,1.26,2.01,2.17,0.92,2.8,2.46,0.76,0.11,1.17,1.99
PRECTOTCORR,2013,2.32,1.71,1.41,2.43,2.48,2.27,2.58,0.79,2.19,2.48,1.61,1.79,2.01
PRECTOTCORR,2014,0.15,0.52,0.95,1.73,2.42,3.97,2.36,1.48,0.97,2.03,2.41,0.97,1.67
PRECTOTCORR,2015,2.44,1.89,1.96,4.64,12.49,4.99,1.96,0.63,0.92,6.92,6.81,2.58,4.03
PRECTOTCORR,2016,0.44,1.7,2.92,5.82,5.19,3.29,1.91,4.03,3.08,1.8,2.56,0.55,2.77
PRECTOTCORR,2017,2.13,2.1,0.91,2.66,1.47,5.59,2.75,3.97,2.03,1.12,0.68,1.91,2.27
PRECTOTCORR,2018,0.14,6.66,1.84,0.81,2.08,0.82,0.9,2.63,6.3,8.55,0.58,2.45,2.79
PRECTOTCORR,2019,0.89,0.86,1.38,4.24,6.58,3.27,0.91,2.16,0.4,2.57,2.27,0.7,2.19
PRECTOTCORR,2020,2.34,2.43,5.78,0.98,4.69,3.34,1.17,0.72,4.14,2.07,0.64,2.36,2.56
PRECTOTCORR_SUM,1981,9.95,46.34,84.7,77.14,154.43,102.91,36.17,53.75,75.65,397.04,38.88,5.23,1082.19
PRECTOTCORR_SUM,1982,56.8,46.44,51.14,57.06,286.46,150.89,75.03,18.77,23.57,52.42,84.82,73.92,977.31
PRECTOTCORR_SUM,1983,39.83,27.32,79.54,21.46,146.37,82.92,40.59,63.63,12.11,95.46,59.61,16.82,685.67
PRECTOTCORR_SUM,1984,22.89,56.94,92.69,27.75,60.12,58.18,28.44,54.29,33.64,207.11,52.03,127.31,821.4
PRECTOTCORR_SUM,1985,17.94,52.01,108.19,99.2,89.99,115.09,46.67,15.16,91,138.07,47.76,15.43,836.52
PRECTOTCORR_SUM,1986,0.25,80.87,34.91,106.27,186.83,136.01,30.65,52.83,127.42,91.3,79.05,64.83,991.22
PRECTOTCORR_SUM,1987,47.3,120.66,39.28,10.35,200.48,130.98,44.51,49.59,69.34,17.13,81.58,99.78,910.98
PRECTOTCORR_SUM,1988,13.03,27.44,39.34,44.27,91.44,68.67,72.41,22.67,136.09,34.26,43.31,61.86,654.78
PRECTOTCORR_SUM,1989,71.67,100.3,87.78,38.61,269.55,244.95,51.06,72.12,102.06,36.66,9.84,7.89,1092.5
PRECTOTCORR_SUM,1990,85.94,97.75,152.1,237.65,179.1,47.27,85.33,54.25,57.84,50.06,107.23,31.72,1186.23
PRECTOTCORR_SUM,1991,73.09,29.38,31.19,63.07,123.54,107.4,77.25,133.92,87.92,222.1,36.52,222.3,1207.68
PRECTOTCORR_SUM,1992,76.55,83.14,59.26,38.92,147.5,131.94,58.53,58.93,81.75,36.02,89.9,101.34,963.79
PRECTOTCORR_SUM,1993,56.15,111.81,74.11,83.21,75.76,108.69,2.09,36.37,113.01,181.01,37.88,57.61,937.69
PRECTOTCORR_SUM,1994,37.24,53.17,44.87,75.17,177.09,40.31,108.68,61.09,107.24,172.82,140.99,68.73,1087.4
PRECTOTCORR_SUM,1995,42.93,18.76,100,102.99,178.62,73.05,110.75,93.31,95.37,20.77,23.07,46.4,906.03
PRECTOTCORR_SUM,1996,26.1,5.3,51.52,65.55,37.26,65.29,102.88,145.64,101.64,84.53,161.75,11.35,858.81
PRECTOTCORR_SUM,1997,19.08,195.4,63.25,138.4,117.7,96.11,49.72,63.72,22.18,104.2,35.19,140.63,1045.57
PRECTOTCORR_SUM,1998,88.89,68.01,119.01,29.75,44.72,47.24,12.41,39.83,39.97,116.62,82.51,83.78,772.75
PRECTOTCORR_SUM,1999,47.83,5.54,98.43,71.37,147.37,68.32,21.38,7.53,43.01,63.71,5.48,51.27,631.24
PRECTOTCORR_SUM,2000,39.95,29.87,73.6,78.41,68.55,173.23,8,0.63,12.74,123.57,140.11,65.52,814.19
PRECTOTCORR_SUM,2001,71.31,149.8,92.76,29.86,99.59,49.37,16.27,84.16,61.28,57.78,46.03,63.91,822.12
PRECTOTCORR_SUM,2002,48.46,35.58,135.06,86.14,115.61,82.75,80.62,25.44,46.19,162.36,19.73,106.01,943.95
PRECTOTCORR_SUM,2003,6.84,71.53,24.7,29.93,83.9,130.46,11,71.94,98.67,32.13,59.23,15.99,636.32
PRECTOTCORR_SUM,2004,50.04,112.85,44.1,112.8,61.6,259.81,104.8,78.21,26.8,120,161.5,19.62,1152.11
PRECTOTCORR_SUM,2005,57.35,46.65,48.02,10.99,77.47,18.74,59.75,77.7,18.44,39.07,4.89,5.26,464.33
PRECTOTCORR_SUM,2006,42.66,65.11,97.89,80.15,59.03,35.3,16.8,42.02,63.16,66.84,58.29,51.91,679.16
PRECTOTCORR_SUM,2007,71.35,13.2,157.43,70.54,197.19,258.26,97.1,42.4,107.55,53.6,34,34.6,1137.23
PRECTOTCORR_SUM,2008,7.47,31.97,155.88,111.19,71.56,49.31,26.48,109.75,52.29,45.36,45.33,9.04,715.62
PRECTOTCORR_SUM,2009,15.33,23.07,75.34,114.12,90.58,70.12,92.99,39.98,168.09,220.62,21.52,44.55,976.3
PRECTOTCORR_SUM,2010,68.78,59.48,86.26,85.27,68.71,78.47,107.88,26.4,215.12,33.13,23.19,41.79,894.48
PRECTOTCORR_SUM,2011,28.51,17.88,2,59.15,102.61,36.14,0.33,26.13,31.45,141.07,39.58,87.37,572.21
PRECTOTCORR_SUM,2012,142.37,48.3,122.07,37.78,62.16,65.09,28.45,86.91,73.75,23.49,3.16,36.19,729.71
PRECTOTCORR_SUM,2013,72,47.78,43.83,72.99,76.97,68.22,80.12,24.47,65.63,76.89,48.24,55.57,732.71
PRECTOTCORR_SUM,2014,4.69,14.46,29.33,51.92,75.15,119.08,73.23,45.85,29.12,62.88,72.19,30.22,608.11
PRECTOTCORR_SUM,2015,75.58,52.89,60.69,139.32,387.12,149.8,60.7,19.61,27.62,214.57,204.36,79.85,1472.11
PRECTOTCORR_SUM,2016,13.74,49.35,90.48,174.48,160.83,98.65,59.13,125.03,92.29,55.66,76.91,17.12,1013.68
PRECTOTCORR_SUM,2017,65.89,58.93,28.19,79.65,45.45,167.84,85.39,123.03,60.91,34.73,20.53,59.35,829.89
PRECTOTCORR_SUM,2018,4.33,186.45,57.19,24.16,64.61,24.65,28.02,81.38,188.86,264.9,17.39,75.81,1017.74
PRECTOTCORR_SUM,2019,27.59,23.99,42.74,127.06,203.83,98.17,28.11,67.09,12.02,79.62,68.24,21.74,800.2
PRECTOTCORR_SUM,2020,72.39,70.5,179.05,29.39,145.3,100.33,36.34,22.21,124.28,64.19,19.3,73.05,936.33
